Google Chrome|chrome.exe
x - Docker Desktop|docker desktop.exe
x - Postman|postman.exe
x - Virtual PC|vpc.exe
x - Recuva|recuva.exe
x - CCleaner|ccleaner.exe
x - TeamViewer|teamviewer.exe
AnyDesk|anydesk.exe
x - UltraViewer|ultraviewer.exe
x - RemotePC|remotepc.exe
x - Everything|everything.exe
x - Search Everything|search.exe
x - Everything Toolbar|et.exe
x - Foxit Reader|foxitreader.exe
x - SumatraPDF|sumatrapdf.exe
x - PDF-XChange Editor|pdfxcview.exe
VLC Media Player|vlc.exe
x - MPC-HC|mpc-hc.exe
x - KMPlayer|kmplayer.exe
x - PotPlayer|potplayer.exe
x - GOM Player|gom.exe
x - SMPlayer|smplayer.exe
x - WinRAR|winrar.exe
x - 7-Zip|7zFM.exe
x - PeaZip|peazip.exe
x - Bandizip|bandizip.exe
x - Audacity|audacity.exe
x - FL Studio|fl.exe
x - Ableton Live|Ableton Live.exe
x - LMMS|lmms.exe
x - Inkscape|inkscape.exe
x - Krita|krita.exe
x - GIMP|gimp-2.10.exe
x - Paint.NET|paintdotnet.exe
x - Adobe Photoshop|photoshop.exe
x - Adobe Illustrator|illustrator.exe
x - Blender|blender.exe
x - Unity Hub|unityhub.exe
x - Unreal Editor|unrealeditor.exe
x - Cinebench|cinebench.exe
x - CPU-Z|cpuz.exe
x - HWMonitor|hwmonitor.exe
x - Speccy|speccy.exe
x - WinMerge|winmergeu.exe
x - Beyond Compare|bcompare.exe
x - Meld|meld.exe


